Iata,AirportId,CityName,State
ABE,10135,"Allentown/Bethlehem/Easton, PA",PA
ABI,10136,"Abilene, TX",TX
ABQ,10140,"Albuquerque, NM",NM
ABR,10141,"Aberdeen, SD",SD
ABY,10146,"Albany, GA",GA
ACK,10154,"Nantucket, MA",MA
ACT,10155,"Waco, TX",TX
ACV,10157,"Arcata/Eureka, CA",CA
ACY,10158,"Atlantic City, NJ",NJ
ADK,10165,"Adak Island, AK",AK
ADQ,10170,"Kodiak, AK",AK
AEX,10185,"Alexandria, LA",LA
AGS,10208,"Augusta, GA",GA
AKN,10245,"King Salmon, AK",AK
ALB,10257,"Albany, NY",NY
ALO,10268,"Waterloo, IA",IA
AMA,10279,"Amarillo, TX",TX
ANC,10299,"Anchorage, AK",AK
APN,10333,"Alpena, MI",MI
ASE,10372,"Aspen, CO",CO
ATL,10397,"Atlanta, GA",GA
ATW,10408,"Appleton, WI",WI
ATY,10409,"Watertown, SD",SD
AUS,10423,"Austin, TX",TX
AVL,10431,"Asheville, NC",NC
AVP,10434,"Scranton/Wilkes-Barre, PA",PA
AZA,10466,"Phoenix, AZ",AZ
AZO,10469,"Kalamazoo, MI",MI
BDL,10529,"Hartford, CT",CT
BET,10551,"Bethel, AK",AK
BFF,10558,"Scottsbluff, NE",NE
BFL,10561,"Bakersfield, CA",CA
BGM,10577,"Binghamton, NY",NY
BGR,10581,"Bangor, ME",ME
BHM,10599,"Birmingham, AL",AL
BIH,10617,"Bishop, CA",CA
BIL,10620,"Billings, MT",MT
BIS,10627,"Bismarck/Mandan, ND",ND
BJI,10631,"Bemidji, MN",MN
BLI,10666,"Bellingham, WA",WA
BLV,10676,"Belleville, IL",IL
BMI,10685,"Bloomington/Normal, IL",IL
BNA,10693,"Nashville, TN",TN
BOI,10713,"Boise, ID",ID
BOS,10721,"Boston, MA",MA
BPT,10728,"Beaumont/Port Arthur, TX",TX
BQK,10731,"Brunswick, GA",GA
BQN,10732,"Aguadilla, PR",PR
BRD,10739,"Brainerd, MN",MN
BRO,10747,"Brownsville, TX",TX
BRW,10754,"Barrow, AK",AK
BTM,10779,"Butte, MT",MT
BTR,10781,"Baton Rouge, LA",LA
BTV,10785,"Burlington, VT",VT
BUF,10792,"Buffalo, NY",NY
BUR,10800,"Burbank, CA",CA
BWI,10821,"Baltimore, MD",MD
BZN,10849,"Bozeman, MT",MT
CAE,10868,"Columbia, SC",SC
CAK,10874,"Akron, OH",OH
CDC,10918,"Cedar City, UT",UT
CDV,10926,"Cordova, AK",AK
CHA,10980,"Chattanooga, TN",TN
CHO,10990,"Charlottesville, VA",VA
CHS,10994,"Charleston, SC",SC
CID,11003,"Cedar Rapids/Iowa City, IA",IA
CIU,11013,"Sault Ste. Marie, MI",MI
CKB,11027,"Clarksburg/Fairmont, WV",WV
CLD,11041,"Carlsbad, CA",CA
CLE,11042,"Cleveland, OH",OH
CLL,11049,"College Station/Bryan, TX",TX
CLT,11057,"Charlotte, NC",NC
CMH,11066,"Columbus, OH",OH
CMI,11067,"Champaign/Urbana, IL",IL
CMX,11076,"Hancock/Houghton, MI",MI
COD,11097,"Cody, WY",WY
COS,11109,"Colorado Springs, CO",CO
COU,11111,"Columbia, MO",MO
CPR,11122,"Casper, WY",WY
